名称,品质,商城价格,商城价格2,具体描述,物品类型
指定席,,950回声,,被指定的，也包括命运。（2025年Ib联动限定获得）,奇珍家具
纸飞机,独特,258回声,968碎片,哪怕能像纸飞机一样在空中短暂飘行，也好过在地表上终日仰望,独特品质随身物品
指挥,奇珍,788回声,2988碎片,命运啊，我命你回转！,奇珍品质随身物品
纸媒婆,,288回声,,,独特家具
植梦人,独特,318回声,1188碎片,最初，她以精神分析师的身份示人，笔挺的工作服总是洁白干净，最重要的是，没有一个人记得她的脸。,独特品质时装
致命的邀请函,稀世,1888回声,8388碎片,要小心那盛情难却的邀请，危机四伏的晚宴、步步都是陷阱，咔嚓咔嚓，转瞬之间，你也许就会成为他的藏品。,稀世品质随身物品
纸牌塔,独特,258回声,968碎片,构建它需要长久的谨慎和努力，摧毁它只需要一瞬间的妄为。,独特品质随身物品
至识之眼,稀世,1888回声,8388碎片,驱动你的，是对知识的渴求还是对无知的恐惧？不过，现在这都不重要了。,稀世品质随身物品
致万千无言者,稀世,2888回声,12888碎片,当你看见万千无言的亡魂<br>苍白成列，穿过你的梦境<br>莫效仿他人温言相慰，声称<br>永志不忘<br>——他们无需此般虚文<br>莫献颂辞！<br>荣光何用？赴死何等轻易<br>无人再是你旧识模样<br>死神已永据所有的阵亡,稀世品质时装
止咬面具,,258回声,968碎片,有了催眠疗法和我，他不再那么危险了。,独特随身物品
纸翼小姐,奇珍,1388回声,,打满补丁的人造天空曾是她儿时的所有梦想。长大后，她厌倦了虚假的童话，向往着浓雾之外的真正蓝天。因此她也听信了那位“大人物”的话，以走进浓雾为代价，换取一双可以翱翔的双翼。,奇珍品质时装
指引者,独特,318回声,1188碎片,她的歌声从地下传来，引导着旅人到来，以指引为诱饵，为祭奠征集献祭者。,独特品质时装
纸扎祠堂,,1888回声,,用纸扎制的祠堂。,稀世随身物品
蜘蛛 回响,,288回声,,回响动作,个性动作
中岛敦,,2888回声,,武装侦探社成员-中岛敦的服装。,稀世时装
钟阁杼思,,2888回声,,钟阁内的机杼声骤然停止，织女终于下定决心——走出去，走向舞台，走向自由，走向光明。,稀世时装
重构,,1888回声,,那些曾经共同经历的成功与失败、挫折与坚持，都会成为托举起各自未来的基石。,稀世随身物品
中原中也,,2888回声,,港口黑手党成员-中原中也的服装。,稀世时装
周年蜡烛-0,,230回声,1088线索,数字0形状的蜡烛（2024年“俄刻阿诺斯的航迹”活动期间家具）,家具
周年蜡烛-1,,230回声,1088线索,数字1形状的蜡烛(2023年周年庆活动期间家具),家具
周年蜡烛-2,,230回声,1088线索,数字2形状的蜡烛(2023年周年庆活动期间家具),家具
周年蜡烛-3,,230回声,1088线索,数字3形状的蜡烛(2023年周年庆活动期间家具),家具
周年蜡烛-4,,230回声,1088线索,数字4形状的蜡烛(2023年周年庆活动期间家具),家具
周年蜡烛-5,,230回声,1088线索,数字5形状的蜡烛(2023年周年庆活动期间家具),家具
周年蜡烛-6,,230回声,1088线索,数字6形状的蜡烛（2024年“俄刻阿诺斯的航迹”活动期间家具）,家具
周年蜡烛-7,,230回声,,数字7形状的蜡烛（2025年“群星之下的启迪”活动系列家具）,独特家具
周年庆礼物堆,,288回声,1088线索,庆典当然少不了礼物的装饰,独特家具
周年庆气球,,288回声,1088线索,庆典当然少不了礼物的装饰,独特家具
咒术师 回响,,288回声,,回响动作,个性动作
咒术师 祝福,,98回声,,祝福动作，咒术师专属，最佳演绎动作,个性动作
逐风蜗,,2888回声,12888碎片,小小蜗牛壳儿亮，取名要当逐风王。森林动物捂嘴笑，不如改叫大话王。“流星”落山崖，拖尾闪青光，蜗牛吃掉那流星，背上背包研究忙。"咻"地一声乘风起，大家鼓掌齐欢唱。,稀世时装
竹华,稀世,2888回声,12888碎片,竹影，风华。,稀世品质时装
逐浪的玫瑰,,1388回声,,盛放之时，她已知晓凋零的宿命，但至少在腐烂之前，她看过更远的风景。,奇珍时装
朱丽叶,奇珍,1388回声,4888碎片,任其改名，其香如故。,奇珍品质时装
竹林挂画,,230回声,1088线索,,独特家具
竹龙玉,,1888回声,8388碎片,竹林虚影藏龙迹，龙吟千里展威仪。,稀世随身物品
竹笙,,950回声,4188线索,,奇珍家具
逐香尘,奇珍,3888碎片,1068回声,暗馥留微火，心事共成灰,奇珍品质随身物品
竹荫守护者,,838回声,,关注熊猫健康，守护竹林中的小可爱们茁壮成长！（熊猫系列时装）,奇珍时装
转化,独特,258回声,968碎片,在祂眼中，人与植物并无不同。,独特品质随身物品
转位,,1888回声,,终有一天，会有人与你一起，将昨日的杂音调转为明日的凯歌。,稀世随身物品
转相仪,奇珍,788回声,2988碎片,这个古怪的设备能生成一股奇异的能量，被击中的人会产生不稳定的相位变化,奇珍品质随身物品
庄园之声,,1000线索,,,户型
追星海报,,230回声,,一组生动展现明星受欢迎程度的装饰。,家具
自选礼包 回响,,288回声,,,礼包
子夜来使,,1068回声,3888碎片,于子夜时分穿梭过空间罅隙传递信息的死神的使者，不过对菲尼克斯而言，它更像是监视者。,奇珍随身物品
自由之爱,稀世,2888回声,12888碎片,烈焰灼伤了玫瑰的美丽，却让它绽放出了久违的自由。,稀世品质时装
自由之钥,,1888回声,,冒险者转动钟表的发条，宣告这场名为自由的拯救。,稀世随身物品
自制沙包,独特,258回声,968碎片,补丁上凝结了曾经的汗水与决心，可惜有些事终将化作叹息。,独特品质随身物品
祖传怀表,独特,258回声,968碎片,作为一个律师，怀表是对时间所持态度的象征,独特品质随身物品
组合扳手,独特,258回声,968碎片,这里敲敲，那里打打，没什么修不好的！,独特品质随身物品
诅咒黑云,稀世,1888回声,8388碎片,帕缇夏在旅途中收集到的神秘物品．普通人看到的是一个平凡的水晶球，只有被诅咒者才能看到里面翻涌的黑暗。,稀世品质随身物品
诅咒图腾,独特,258回声,968碎片,虽然是充满危险的图腾，但在合适的人手中也能行善举,独特品质随身物品
诅咒娃娃,独特,288回声,1088碎片,使用它进行恶作剧前最好谨慎考虑，也许会遇到出乎意料的事精哦?,独特品质随身物品
祖祖,,1388回声,4888碎片,命运的帷幕后，是你的笑颜。,奇珍时装
最后的故事,,1888回声,8388碎片,曾经有人问过那个怪物为什么从来不飞走，我们都知道，这个牢笼是关不住她的，怪物把玩着一枚黑色鸟羽，发出咯咯的笑声，她说：“你觉得，我最想要的，是自由么？”,稀世随身物品
最后的馈赠,稀世,1888回声,8388碎片,维克多的诗人朋友赠予他的礼物，没想到，却成了他们最后一面的见证。,稀世品质随身物品
最后的致意,,1068回声,,致那位咨询侦探的最后留言。,奇珍随身物品
最后一舞,,1388回声,4888碎片,最后的舞蹈，既是对昔日的家园的缅怀，也是对入侵者不死不休的宣战,奇珍时装
罪人头像,独特,258回声,968碎片,凝固的哀嚎，预示着罪孽的诞生。,独特品质随身物品
作响的铃铛,奇珍,788回声,2988碎片,传说曾经是为节日带来欢庆气氛的铃铛，一场变故之后，它成为了人人避之不及的存在，如果你再听到这铃声，可要赶紧躲起来。,奇珍品质随身物品
